path;avg;block;radial;phash;marr;color
/home/breno/codes/cv/hash-similarity/data/original/62319611-3010-425c-b127-3e46141f3d05.jpg;marr -> 24fc19334ec13ec8c924966d3ccec1266cdbe496de999237c01e7c248047fa;phash -> ;avg -> ffc1524c2614383863;color -> 03587cd196c37b3f58202911e727b53e1314be7fba474d3eb738c63338c85a3e513dc98b884fbe3c083caa5c9d83b13db40eefb983d2aa3cf86a35022b175a3f67f76333d819543ebee39a777240c23ddc90f81c042dc63d;block -> ffffffff9eff01100ec02461b071d818180f3007a0078003c007c007c00fc007;radial -> c26c
/home/breno/codes/cv/hash-similarity/data/original/77514373-312a-496f-aa2a-f658bf5e4934.jpg;marr -> f06c369f4d24ade1c8da49b69b4d07da4c5bd36d24d36838981e1b9b49369b484898165bd279369a42df245e0fe96d3c0b0ccb240e5eda6d24c4fda17fe01bdb4982e5b1381c3e0f;phash -> 87f8fef7388ffc37;avg -> ;color -> 4434458aef705b3f096977ed8e292e3ebe74bc3be87f993df05fc652933ba83d7a23b7c674bc54bbddeacd9492fec3bc98c3e6dfeeb150bbe8202439ab995d3f22bf667c06af523e1b6ec8b4b7accf3daf0c280973fae13ddb1d2d85a9afbf3beeab40274143123d2444e55903a2c53b9312938f5a8a6d3fc7c257902cddab3ec1d70b523e14e03d044ece9b2fb7103e22a71c429981f03bc49a7e3517786c3d5616c80b25de17bc561a78e402f5713f0c3015e6e744b93ea7045bc67545073e1473baf2105a203ed2d2275bb97f2b3ca7472dd02d79803d18b3b10297b642bcbed4c0c40be0553fa81df41562bd903d19e6deec7b30283dcfe09d74950cff3c23a20e69504a1e3a0192ad562486c8bb6044e724484916badcc8acf0a6b1543f38f96e8a0518d83d89f10d075d2f223d03da825110233c3d3c393d5ebeb279ba2038d6606b6421bccbb8d3333bdf66ba;block -> ;radial -> 7e
/home/breno/codes/cv/hash-similarity/data/original/54623292-32aa-4f15-98db-feeb3b7f56e9.jpg;marr -> 1b8dc6e371b8dc76d81bc9a4c371383cf23f0bc9a4d260581d881f0bcda4c272d83c1fd80bcda4c266c87fe14b0bcda4d26640ebd1c01bcda6d369332749e91b4da6d3693fdad049;phash -> e61b90e708f1126d;avg -> 1f3f7fffe783c5c0;color -> 214ee6552d04633f4692709c51b87e3ef8bf7f218a92fa3d1e3bdecda246ff3d892e69758247f33b49f32f791eaa3ebdad32593dcf790abc308576baad11653f967546c4a5b19c3e750fe5ad0dbe2b3e4781d8820536243e153894ca37215d3cda646763ad10613de68661c49f2b3b3c440713fb223f523f187967ac290c4f3e8ac5b04541f4a43d3149e1ec4c56873df08785f0eaeb293bf1c3d2bd6cca9a3cc435ef529d3123bb46cbdd54ab30533f565251f09b71543ec05187a6b8cfa33df288c9e50ea29a3de043077db40f493bf1bcafe25d58ba3ca8d05b68064a34bbfe24c6ff415b553f34dd7141f148063eed61e10843aa883dc27c75440675793d42aa375ffcd5043bb0da401f369375bcaf2933138afd02bb92fca1a61053563f75d2fd254fdd0e3ec13fb8c0fff9963d570fd0b44644943d280efb58295c393b3841b8d59d3f94bc0982f838526524bb;block -> ff;radial -> 8b3d
/home/breno/codes/cv/hash-similarity/data/original/23773566-8f02-4106-8920-0fd56ff4e2c8.jpg;marr -> da0fa6d3723e904e4fdb6db49f4e071387a0d86db6db625e9187c0d37836db66cc9924dbf276f49b6e4f6768c9db0fa49b62496f6c49db49a4db62487c6c4d9b4da4db6248bd3637;phash -> c9963e598df672dd;avg -> 10;color -> 4caf6b9f02b6813f1f61663b6f3ec13e618e78a4db34683e6cc4ff5f88f54c3e553a85a204c0aa3c994f9d740bffb43da2addf683de1b3bc7640fb29abd14e3f559a60c610d7473e98db766a4decb83db231c84b624ea63d134f54e7890167bb060478ceba47d2bcbc80013319853abbc35c86b7f5f0593f23b99983f7e3933ef6c4efc8e16ec03dc130237c1ea4bf3dc693f2df32958ebb52d5b86f149be6bcb7938564ec0b723b8677d125eab1603fc9decb434c51a33ef40b5d1b5ff1f13dcb530d341886fa3de461a418b8f9f63bb7c25c031e70523d76dc928c9bedfbbb8894f295ef1b533f26c02f04aa96f53d62227fe5eff1563ddb0e25b167d67d3d563ef7d29b81f7baa499b6577d24813c4c574a3a5d21da3ab81d23557fbd573f4521a9cc4bebfa3d88c85a71be846e3df0ff243a3af27e3de4;block -> ;radial -> 5bfe5a962d
/home/breno/codes/cv/hash-similarity/data/original/05567445-63f7-4f1b-ab9d-3993ab233e5e.jpg;marr -> 83ed04c4ba5e8096696cc999209d2724b2ff9b6d34bf49372737f0d26d1b1a46c12493d82e4dba536ec02dedc8ae6db68c8e496f48c89beda6d072492e4c4b936d03e3725979b226;phash -> 2976d6d3e96dcec9;avg -> ;color -> 2e9d3392c960663fc81d278cf6a5b03ef3296a739f8e0e3e3960be14c541f33d4e23a1a96c88023cfd9082dfa346533d3457350caf30f2bb688e50cdcba7563fda8c1001c194343e834449859823d23d9c1d1a12f1ad603d039158943c0ed73a398d3c74bfef6fbcdc4c04561d7b093bac7952e085855b3f127d40a19f4c653e9ac0d8c96890;block -> 01;radial -> 3e90ff24dc
/home/breno/codes/cv/hash-similarity/data/original/67504632-d8a6-4198-a05b-c6e211197447.jpg;marr -> da693c0496db6db2dbda69092c96db6d92c9d269092496d87cb6d99b498064f0d91f68499b49bb1e06dfd03e2f9b09c4e5b6cf83264f9b89c4e5b65d90b7691b8dc4e4f6987c3ec5;phash -> 264d108610632e40;avg -> ffffffffcf03;color -> 6b1f206e16ad7d3fc1b0f9b144a8a33e06f597ab95eb3d3e1339cf86bf794c3e18e15855eaeea13c84ae163e1bab933d86aa89a0b0b97f3c03a6aebb7b05623f3d9a612440528e3eb94be32725c4083eb9234bbbdece0c3e400e09499cd7103c38f17a97a65a1bbd8eacbf991186263c247052511e24503fec787fccfe97543e6f15845a1a79bd3db1510818ae7da23dc29531983d5046bb5204f64d84c8d2bc99e3f852533e623b4ff0e69b9fe5503f711a73c41d5f603e6750ffe76134c23d6639a256d622ac3d26a1;block -> fffffffffffffffffffefffeffffffff3ff83f401f;radial -> a1ff
/home/breno/codes/cv/hash-similarity/data/original/54780160-e73a-43e1-84c1-9ccba9538e2a.jpg;marr -> e84d993e02583e580fdb2619;phash -> 043dc3617a1d92c3;avg -> ffc7cfcbeef6fe3e;color -> 6f83f25ed79c6e3fe54c3e11c50f813eeb0b2146b55c093ec2cc52bb9a96213e74593ca521d63abccf5315929f24663d129372206bf242bc342d04ccccc86b3f26e33fc9e6b0953e910e1020aff0423efaf801e6ad75303e45f48f8d7c5077bc681f2428b00d40bd66fc1f470691653ceeec5364866b483faef066a1b6c1fa3df61f2cea0c9c893d0f5a8863d75f583d4480f342f550da3a80b9474a9bee5ebc14895cf1a68cb6ba7660abfb66124a3f5f47b649634feb3dce9f3d89;block -> ffffffff7ff83ff01ff09ff08ff003e860ecfceebdff3cfffcfffc3ffc07f801;radial -> 52ffb7
/home/breno/codes/cv/hash-similarity/data/original/7a632281-4031-4e96-b2c0-26dd93cbe1b6.jpg;marr -> da7626964058f03e37db4866cc990c909d24db12e4de424ed1b327db3264939e478191c9db09be0d8d268190dbdb6d348071334406dfda64a6cdbc983db1c8936d83e5f27e84b724;phash -> d9a63659defb2d1c;avg -> 8080e037303a38;color -> a0f97855c5ab763fdab1e1dd11b4873e;block -> ;radial -> a7ff
/home/breno/codes/cv/hash-similarity/data/original/21a05257-5e15-4bf3-a48e-f14d7f2dd27a.jpg;marr -> e0721b1d8d86da4ce4d385db5c8e86da6d3413ed3c1c8ec6d36da424e92c145236d3c1a40dc98960fdb0dc1f27e44985e4fc589c6c971bec06e0f2fedb6836e4b25b1f0e46da4cd9;phash -> 7b4a9fbe64a79af4;avg -> 013e3c2c283cdfff;color -> 4d4678eafd0b793fecfa7337c593bd3e99fdde8c4ecd193eb94382366644203e97f76cd6b8da48bc6d347e9b4058743d94c53c441f9f3f3c8ed17a5d0fe1563f74602320ca473c3ecc9ba9314a58d03d0650feee1ed0823dc37cf343049335bbecda1e97274fa3bcca989e1fbf9d333be62606067153533f3e5abcd2400b4d3e3b066a396b1fd23db759864890e5a13df625a547a9156c3b784aebee4685d03c551587d2f01d43bb2d4db6693d58583fe07e41dca2fd5b3ed1a734ecc44ad93d449611fbc04db23d511a144a43f8863b88a7bf24b1bce63ca90bf634b4b071bb223b76cdb5e0523f109181ee42e40a3e3d8aa97c60c2843de28c;block -> ;radial -> 6d1e0eff
/home/breno/codes/cv/hash-similarity/data/original/924a5565-400f-45f6-934a-c2659853d9f8.jpg;marr -> ec4dc4edb9366c993785b666e079b1224e0f64b24d8b656899b3fe3317f65b713cd897a61fe2db7f88381cbfc905fc381d9d36942e5bf01140ed8e409cb799079fc903f13323b239;phash -> 6ca729839748579f;avg -> d1582540bf9e6038;color -> fb6b7eeb2f9f763fb9ae9079c82cce3eb202ac80f0e50f3e7272eb36798d683ec5f4279880e7a23cd1584dc9160bd73d98352695b047b3bcc3194ac7476e603f3c27512666c9733e348be33a5695ca3d12b6d552;block -> ff7dff77f8390139031c031c033807207f617fed7eddf8dee09e;radial -> 99da
/home/breno/codes/cv/hash-similarity/data/original/4019a738-9ffd-4343-b4c7-249bf52e4968.jpg;marr -> da12768496db67c1b6da127484925927f3d81c1e07078649244e4fda693484964125b7c0da49348c96db27b3361381c0e072f92492c5d365bc1c964924b76c9b6da4c496d93c9207;phash -> 981942c82d0782a802;avg -> fbffffff60;color -> bef38c426ebb713feda1e1f585ae733edfeef23e1872393e36241bddef9a383ec8bf4f94792f833cf0428ab9f9347b3d5c38d814341947bca0877da8b783543f7b24158db495603e112ed1a78be0e43d628127a7086ae43d02d7a3e8f81ed83b0330ba2a43131dbd0464997fb529c5bb4ab9786959fd543f8725ca7d49cc8c3e076f18d81a4bbb3de75c3404138aba3d80932494f366fa3a22c513e2a81501bd8ed229df2a5286bb1a5d2d040193563fc72eb13d4db8923efb843b81dea0bf3db20f5ea11c62c33dc0988f0aac992ebbc6472a9ba94d0ebdc381233c733595bb5a215462ea8f543fa7a791a6ed75f93de555effb6d9f353d459773802cd42d3dc06ece39389e683a9566de785b3e30bcdcc32ab577b0663ace73da457379563f558eef8b24daf73d5a8543c0c387563de3f8e4d7040f543da1be21788c77ba3a0a76ab7e7e48583c050f17b08706893a;block -> eff7eff7eff7eff7eff7eff7eff7eff780f7;radial -> c06f
/home/breno/codes/cv/hash-similarity/data/original/08758a79-ad42-4f49-8a45-65c6044a7515.jpg;marr -> 8decb6c5a1f740da4864f8037279016e48d964fe3910325ed3605f9a7d393a56f683920bc48fc961fd1f21b65bd0319b3f0643d0b7a02d82de80ffa52706f82d92c3fe0d032781d8;phash -> 2df1db9d4e66bc8f;avg -> fafccce8e4f2f37e02;color -> 1c2ebe354392713fbed288eda2bab63e99f8661529c2193e3b047c538e91413e6be44b3baa537abc1e974c1506eaa43dde1acb610ff4733cbe373a7fb6a76a3f8f06968447b0a23e18585312ea1b333e387628f2b189213ec01978bfd9414ebcc0b6709926cd71bddb0d14e7480258bc505b396ab68d503f71fc0127a874253e25fb713ec5bb7f3d04836bb0baa57f3dac72fa596beaf5ba401812fa73f392bccb8d8ec2f85c0dbb79c4486f8ee9513fdec2fc663ff9213ebaff3e1b762b7c3d377d53af3af1973d6987e4;block -> fcfff0ffe0ffe0ffe0ff60f0;radial -> 68b2ff
/home/breno/codes/cv/hash-similarity/data/original/3a261259-e581-481d-b938-db062ecfa0c7.jpg;marr -> 93793c1f8a5f6187c8d349bc1f;phash -> a64569b91eb379cc;avg -> fde7ef8fc3db5a4e;color -> 26baad6db5b1783f361115310acea03e6905c2610a8a323eca60183dcc2e143e0b023790e6d5443c0c6603a552263c3d72b7838bd765393ca8751b6fbb74633f3c277a827a12893ef313410e427a073e5e8c32a0569ba03de7fb7f9ce527813bf52bd6f0983decbc0fb9cdcd466c763b0c292f706abf533fb197f1a3f85f313edb5c4771c558b83d7813f6767c6d783d;block -> e1ff7ffe3ffc3ffc3ffc1ff89ff08fe00fe007e0e673e673e733fc33dc13d811;radial -> 85d8f8
